Series Code,Country Name,Country Code,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",GDP per capita (constant 2015 US$)
SE.SEC.CUAT.LO.ZS,Niger,NER,8.44572258,547.4201513
SE.SEC.CUAT.LO.ZS,Nigeria,NGA,69.98229218,2449.587981
SE.SEC.CUAT.LO.ZS,North Macedonia,MKD,70.74382782,6217.951641
SE.SEC.CUAT.LO.ZS,Northern Mariana Islands,MNP,..,..
SE.SEC.CUAT.LO.ZS,Norway,NOR,97.22021484,79434.62565
SE.SEC.CUAT.LO.ZS,Oman,OMN,96.83000183,18856.87524
SE.SEC.CUAT.LO.ZS,Pakistan,PAK,..,1696.95649
SE.SEC.CUAT.LO.ZS,Palau,PLW,..,12426.97571
SE.SEC.CUAT.LO.ZS,Panama,PAN,66.56999969,15388.05586
SE.SEC.CUAT.LO.ZS,Papua New Guinea,PNG,34.50485992,2462.549092
SE.SEC.CUAT.LO.ZS,Paraguay,PRY,57.20999908,6199.600382
SE.SEC.CUAT.LO.ZS,Peru,PER,62.11000061,6549.33483
SE.SEC.CUAT.LO.ZS,Philippines,PHL,61.85467911,3528.330428
SE.SEC.CUAT.LO.ZS,Poland,POL,98.06907654,17178.66834
SE.SEC.CUAT.LO.ZS,Portugal,PRT,64.61432648,22125.93919
SE.SEC.CUAT.LO.ZS,Puerto Rico,PRI,..,29819.88844
SE.SEC.CUAT.LO.ZS,Qatar,QAT,73.70999908,63428.36409
SE.SEC.CUAT.LO.ZS,Romania,ROU,92.94999695,12131.73625
SE.SEC.CUAT.LO.ZS,Russian Federation,RUS,98.59574127,10030.03906
SE.SEC.CUAT.LO.ZS,Rwanda,RWA,17.95000076,939.7281495
SE.SEC.CUAT.LO.ZS,Samoa,WSM,92.3299942,3591.804948
SE.SEC.CUAT.LO.ZS,San Marino,SMR,87.69999695,..
SE.SEC.CUAT.LO.ZS,Sao Tome and Principe,STP,..,1395.157528
SE.SEC.CUAT.LO.ZS,Saudi Arabia,SAU,76.86488342,21478.81653
SE.SEC.CUAT.LO.ZS,Senegal,SEN,19.31158066,1460.494903
SE.SEC.CUAT.LO.ZS,Serbia,SRB,75.60939789,7493.161802
SE.SEC.CUAT.LO.ZS,Seychelles,SYC,..,16188.78133
SE.SEC.CUAT.LO.ZS,Sierra Leone,SLE,..,626.9020435
SE.SEC.CUAT.LO.ZS,Singapore,SGP,85.26000214,67948.89283
SE.SEC.CUAT.LO.ZS,Sint Maarten (Dutch part),SXM,..,33305.63186
SE.SEC.CUAT.LO.ZS,Slovak Republic,SVK,99.22311401,18898.04284
SE.SEC.CUAT.LO.ZS,Slovenia,SVN,98.60298157,25349.75855
